Group,Full Code,Base Code,Primary Branch,Found In Branches,Normalized Code
Unknown,Burra - Remington,Burra - Remington,null,PMB,BURRAREMINGTON
Albida,Albida - C hall,Albida - C hall,null,PMB,ALBIDACHALL
Albida,Albida - C Hall Professional Fees,Albida - C Hall Professional Fees,null,PMB,ALBIDACHALLPROFESSIONALFEES
Albida,Albida - Oribi Hangar,Albida - Oribi Hangar,null,PMB,ALBIDAORIBIHANGAR
Capex,Burra - B Saxon Murray,Burra - B Saxon Murray,null,PMB,BURRABSAXONMURRAY
Capex,Burra - Black Rock,Burra - Black Rock,null,PMB,BURRABLACKROCK
Capex,Burra - Boma,Burra - Boma,null,PMB,BURRABOMA
Capex,Burra - Boma Farm,Burra - Boma Farm,null,PMB,BURRABOMAFARM
Capex,Burra - Carter Drive,Burra - Carter Drive,null,PMB,BURRACARTERDRIVE
Capex,Burra - Dirt Road,Burra - Dirt Road,null,PMB,BURRADIRTROAD
Capex,Burra - Egli,Burra - Egli,null,PMB,BURRAEGLI
Capex,Burra - Egli Professional Fees,Burra - Egli Professional Fees,null,PMB,BURRAEGLIPROFESSIONALFEES
Capex,Burra - Harding,Burra - Harding,null,PMB,BURRAHARDING
Capex,Burra - Jesmond Road,Burra - Jesmond Road,null,PMB,BURRAJESMONDROAD
Capex,Burra - Thornycroft,Burra - Thornycroft,null,PMB,BURRATHORNYCROFT
Capex,Burra - Thornycroft Professional Fees,Burra - Thornycroft Professional Fees,null,PMB,BURRATHORNYCROFTPROFESSIONALFEES
Capex,Burra - Truda CPT,Burra - Truda CPT,null,PMB | QTN | CPT,BURRATRUDACPT
Capex,Burra - Truda CPT Professional Fees,Burra - Truda CPT Professional Fees,null,CPT,BURRATRUDACPTPROFESSIONALFEES
Capex,Burra - Truda PMB,Burra - Truda PMB,null,PMB,BURRATRUDAPMB
Capex,Burra - Truda PMB Professional Fees,Burra - Truda PMB Professional Fees,null,PMB,BURRATRUDAPMBPROFESSIONALFEES
Capex,Burra - Truda PTA,Burra - Truda PTA,null,PMB | PTA,BURRATRUDAPTA
Capex,Burra - Truda PTA Professional Fees,Burra - Truda PTA Professional Fees,null,PTA,BURRATRUDAPTAPROFESSIONALFEES
Capex,Burra - Truda QTN,Burra - Truda QTN,null,QTN,BURRATRUDAQTN
Capex,Burra - Truda QTN Professional Fees,Burra - Truda QTN Professional Fees,null,QTN,BURRATRUDAQTNPROFESSIONALFEES
Capex,Burra - Wonderboom House,Burra - Wonderboom House,null,PTA,BURRAWONDERBOOMHOUSE
Capex,Burra - Wonderboom House Professional Fees,Burra - Wonderboom House Professional Fees,null,PTA,BURRAWONDERBOOMHOUSEPROFESSIONALFEES
Capex,CPT - Plant & Machinery,Plant & Machinery,CPT,PMB | PTA | QTN | CPT,PLANTMACHINERY
Capex,CPT - Projects Pallets,Projects Pallets,CPT,PMB | PTA | QTN | CPT,PROJECTSPALLETS
Capex,CPT- Computer &Office Equipment (Over7K),Computer &Office Equipment (Over7K),CPT,CPT,COMPUTEROFFICEEQUIPMENTOVER7K
Capex,CPT- Computer &Office Equipment (Under7K),Computer &Office Equipment (Under7K),CPT,PMB,COMPUTEROFFICEEQUIPMENTUNDER7K
Capex,MyLife - Plant & Machinery,MyLife - Plant & Machinery,null,PMB,MYLIFEPLANTMACHINERY
Capex,MyLife - Projects Machinery,MyLife - Projects Machinery,null,PMB,MYLIFEPROJECTSMACHINERY
Capex,PMB - Fleet (New Purchases),Fleet (New Purchases),PMB,PMB,FLEETNEWPURCHASES
Capex,PMB - Office Furniture (Over R7k per Item),Office Furniture (Over R7k per Item),PMB,PMB | PTA | QTN,OFFICEFURNITUREOVERR7KPERITEM
Capex,PMB - Projects Machinery,Projects Machinery,PMB,PMB | PTA | QTN | CPT,PROJECTSMACHINERY
Capex,PMB- Building Consumables B,Building Consumables B,PMB,PMB,BUILDINGCONSUMABLESB
Capex,Tuscan - Plant & Machinery,Tuscan - Plant & Machinery,null,PMB,TUSCANPLANTMACHINERY
Capex,Tuscan - Projects Machinery,Tuscan - Projects Machinery,null,PMB,TUSCANPROJECTSMACHINERY
Maintenance,Albida - C Hall Consumables,Albida - C Hall Consumables,null,PMB,ALBIDACHALLCONSUMABLES
Maintenance,Albida - C Hall Maintenance,Albida - C Hall Maintenance,null,PMB,ALBIDACHALLMAINTENANCE
Maintenance,Albida - Oribi Hangar Maintenance,Albida - Oribi Hangar Maintenance,null,PMB,ALBIDAORIBIHANGARMAINTENANCE
Maintenance,Burra - B Consumables,Burra - B Consumables,null,PMB,BURRABCONSUMABLES
Maintenance,Burra - B Saxon Murray Consumable,Burra - B Saxon Murray Consumable,null,PMB,BURRABSAXONMURRAYCONSUMABLE
Maintenance,Burra - B Saxon Murray Livestock,Burra - B Saxon Murray Livestock,null,PMB,BURRABSAXONMURRAYLIVESTOCK
Maintenance,Burra - B Saxon Murray Maintenanc,Burra - B Saxon Murray Maintenanc,null,PMB,BURRABSAXONMURRAYMAINTENANC
Maintenance,Burra - Black Rock Consumables,Burra - Black Rock Consumables,null,PMB,BURRABLACKROCKCONSUMABLES
Maintenance,Burra - Black Rock Maintenance,Burra - Black Rock Maintenance,null,PMB,BURRABLACKROCKMAINTENANCE
Maintenance,Burra - Boma Consumables,Burra - Boma Consumables,null,PMB,BURRABOMACONSUMABLES
Maintenance,Burra - Boma Farm Consumables,Burra - Boma Farm Consumables,null,PMB,BURRABOMAFARMCONSUMABLES
Maintenance,Burra - Boma Farm Maintenance,Burra - Boma Farm Maintenance,null,PMB,BURRABOMAFARMMAINTENANCE
Maintenance,Burra - Boma Maintenance,Burra - Boma Maintenance,null,PMB,BURRABOMAMAINTENANCE
Maintenance,Burra - Carter Drive Consumables,Burra - Carter Drive Consumables,null,PMB,BURRACARTERDRIVECONSUMABLES
Maintenance,Burra - Carter Drive Maintenance,Burra - Carter Drive Maintenance,null,PMB,BURRACARTERDRIVEMAINTENANCE
Maintenance,Burra - Dirt Road Maintenance,Burra - Dirt Road Maintenance,null,PMB,BURRADIRTROADMAINTENANCE
